area,region,ni_p50,ox_p50,ph_p50,ts_min,ts_p50,ts_max,latitude,longitude,area_id
Westernport Catchment,"Labertouche Creek at Draytons Road, Labertouche",0.7,9,0.11,1,8,26,-38.0368363,145.799908,WesternportCatchment
Westernport Catchment,"Lang Lang River upstream Drouin-Poowong Road, Athlone",1.4,7,0.21,4,12,38,-38.2357844,145.7849898,WesternportCatchment
Westernport Catchment,"Lang Lang River at South Gippsland Highway, Lang Lang",0.5,8,0.08,10,12,71,-38.3052193,145.5705371,WesternportCatchment
Westernport Catchment,"Lower Gum Scrub Creek at Wenn Road, Cardinia",2.3,8,0.24,4,14,18,-38.1345126,145.4504995,WesternportCatchment
Westernport Catchment,"Main Creek at Boneo Road, Flinders",0.6,10,0.02,1,4,10,-38.4724152,145.0037804,WesternportCatchment
Westernport Catchment,"Merricks Creek at Bridge Street, Merricks (Beach Road)",0.9,9,0.05,3,7,120,-37.4713077,144.7851531,WesternportCatchment
Westernport Catchment,"Minnieburn Creek at South Rd, Poowong",0.6,9,0.05,1,12,18,-38.357336,145.7537635,WesternportCatchment
Westernport Catchment,Musk Creek upstream Koo-Wee Rup-Longwarry Rd,1.5,9,0.17,10,29,47,-38.1863027,145.6272573,WesternportCatchment
Westernport Catchment,"Olivers Creek at Barclays Cresent, Hastings",0.8,7,0.07,1,4,10,-38.307583,145.190201,WesternportCatchment
Westernport Catchment,"Red Bluff Creek at Bass Highway, Jam Jerrup",5.6,8,0.58,19,47,390,-38.333739,145.5536525,WesternportCatchment
Westernport Catchment,"Sweetwater Creek at Grange Rd, Frankston South",0.7,10,0.04,1,3,10,-38.1593843,145.1073288,WesternportCatchment
Westernport Catchment,"Tarago River at Morrisons Road, Labertouche",0.6,9,0.07,6,15,22,-38.0368363,145.799908,WesternportCatchment
Westernport Catchment,"Toomuc Creek at Princes Highway, Pakenham",1.0,9,0.07,4,10,51,-38.0644085,145.4639837,WesternportCatchment
Westernport Catchment,"Toomuc Creek at Ballarto Road, Rythdale",1.2,7,0.09,13,30,81,-38.1386501,145.4665466,WesternportCatchment
Westernport Catchment,"Upper Tarago River at Elton Road, Neerim (upstream Tarago Reservoir)",1.0,10,0.03,7,12,360,-37.9992832,145.9219378,WesternportCatchment
Westernport Catchment,"Warrangine Creek at Frankston-Flinders Road, Hastings",1.1,8,0.05,1,7,20,-38.2940731,145.1835888,WesternportCatchment
Westernport Catchment,"Watsons Creek at Dandenong-Hastings Road, Somerville",13.2,9,0.97,3,6,28,-38.2307207,145.216374,WesternportCatchment
Westernport Catchment,"Wylies Drain at Baxter-Tooradin Rd, Devon Meadows",13.4,5,2.40,4,28,68,-38.1974145,145.3153647,WesternportCatchment
Yarra Catchment,"Andersons Creek at Everard Drive, Warrandyte",1.7,8,0.11,1,4,15,-37.7420996,145.2049282,YarraCatchment
Yarra Catchment,"Big Pats Creek upstream Riverdside Drive, East Warburton",0.5,10,0.01,6,8,25,-37.741928,145.736069,YarraCatchment
Yarra Catchment,"Bruces Creek at Beech St, Whittlesea",1.0,5,0.13,3,14,53,-37.5111669,145.1205669,YarraCatchment
