id,area,region,ni_p50,ox_p50,ph_p50,ts_min,ts_p50,ts_max,latitude,longitude,area_id,score_avg,score_rank,garbage_active,water_active
96,Yarra,"Koonung Creek, Bulleen",1,7,0.09,2,8,54,-37.7809428,145.0786726,Yarra,25.50658196,49,0,1
97,Yarra,"Little Yarra River, Yarra Junction",0.7,10,0.03,6,12,52,-37.7758851,145.6048173,Yarra,17.93906421,100,1,1
98,Yarra,"McCrae Creek, Yellingbo",0.6,9,0.02,8,13,63,-37.8343126,145.5167049,Yarra,14.63539434,123,1,1
99,Yarra,"McMahons Creek, McMahons Creek",0.4,10,0.02,1,3,6,-37.7007133,145.8313999,Yarra,16.50167966,111,1,0
100,Yarra,"Merri Creek, Craigieburn",0.7,8,0.05,2,5,44,-37.5710091,144.9523826,Yarra,19.94099457,83,1,1
101,Yarra,"Merri Creek, Yarra Bend",1.1,10,0.08,1,5,50,-37.4713077,144.7851531,Yarra,28.90546275,29,0,1
102,Yarra,"Moonee Ponds Creek, Gladstone Park",1.2,5,0.11,1,7,14,-37.6876358,144.8863194,Yarra,27.72941045,36,0,0
103,Yarra,"Moonee Ponds Creek, Flemington",1.9,9,0.08,4,11,37,-37.7883911,144.9332083,Yarra,34.45183154,18,0,1
104,Yarra,"Mullum Mullum Creek, Warrandyte",1.7,8,0.1,5,13,28,-37.738014,145.218887,Yarra,34.7045283,17,0,1
105,Yarra,"New Chum Creek, Healesville",3.1,9,0.02,1,4,10,-37.6315762,145.5163193,Yarra,26.54498069,44,0,0
106,Yarra,"Olinda Creek, Lilydale",1,9,0.02,4,9,46,-37.7760064,145.3532756,Yarra,17.45129907,106,1,1
107,Yarra,"Olinda Creek, Coldstream",1.6,9,0.05,12,22,32,-37.724602,145.379623,Yarra,27.15704117,43,0,1
108,Yarra,"O'Shannassy River, Warburton East",0.4,10,0.01,1,1,6,-37.4713077,144.7851531,Yarra,14.6492603,122,1,0
109,Yarra,"Pauls Creek, Tarrawarra",0.9,7,0.05,10,13,33,-37.654386,145.4418698,Yarra,20.77118114,77,1,1
110,Yarra,"Plenty River, South Morang",0.7,8,0.05,6,10,17,-37.6513392,145.0891037,Yarra,20.9342438,75,1,0
111,Yarra,"Plenty River, View Bank",0.9,7,0.07,8,19,61,-37.4713077,144.7851531,Yarra,22.19593047,65,0,1
112,Yarra,"Ruffey Creek, Templestowe",1.4,9,0.05,1,3,16,-37.757084,145.1228573,Yarra,27.18668654,42,0,0
113,Yarra,"Scotchman Creek, Malvern East",1.3,10,0.06,4,6,19,-37.87672,145.0797968,Yarra,28.8505019,30,0,0
114,Yarra,"Shepherd Creek, Yellingbo",0.5,10,0.02,6,12,33,-37.8343126,145.5167049,Yarra,15.44856881,118,1,1
115,Yarra,"Starvation Creek, McMahons Creek",0.4,10,0.01,1,4,8,-37.7252602,145.7596704,Yarra,14.47213595,124,1,0
116,Yarra,"Steels Creek, Yarra Glen",0.6,9,0.03,1,4,49,-37.5397657,145.3894499,Yarra,16.96446609,108,1,1
117,Yarra,"Stringybark Creek, Yering",0.6,7,0.02,4,9,17,-37.6823451,145.378051,Yarra,15.68945285,115,1,0
118,Yarra,"Wandin Yallock Creek, Gruyere",1.1,9,0.02,1,6,14,-37.7387411,145.4590299,Yarra,19.5133827,89,1,0
119,Yarra,"Watsons Creek, Kangaroo Road",0.3,7,0.01,1,2,6,-37.4713077,144.7851531,Yarra,13.41749469,128,1,0
120,Yarra,"Watts River, Healesville",1,9,0.02,3,7,70,-37.6510391,145.4999089,Yarra,16.71483111,110,1,1
121,Yarra,"Woori Yallock Creek, Yellingbo",0.9,9,0.03,6,11,48,-37.8914151,145.5242997,Yarra,18.84846923,96,1,1
122,Yarra,"Woori Yallock Creek, Woori Yallock",1,9,0.04,12,24,37,-37.7799931,145.5303527,Yarra,21.41640786,72,0,1
123,Yarra,"Yarra River, Millgrove",0.4,10,0.02,1,8,18,-37.7525496,145.6576584,Yarra,15.64510585,117,1,0
124,Yarra,"Yarra River, Launching Place",0.6,10,0.02,3,10,29,-37.768258,145.5857101,Yarra,16.41753957,112,1,0
125,Yarra,"Yarra River, Healesville",0.6,9,0.03,11,16,22,-37.6475483,145.5335877,Yarra,17.62771868,104,1,1
126,Yarra,"Yarra River, Coldstream",0.8,8,0.04,11,18,31,-37.724602,145.379623,Yarra,19.57333815,88,1,1
127,Yarra,"Yarra River, Warrandyte",0.7,9,0.03,6,10,20,-37.7366885,145.2225068,Yarra,18.67160129,97,1,0
128,Yarra,"Yarra River, Kew",0.9,8,0.06,13,22,39,-37.7901134,145.0268242,Yarra,22.59138718,60,0,1
129,Yarra,"Yarra River, Melbourne",0.9,8,0.06,9,15,44,-37.8193123,144.9683058,Yarra,22.55688351,63,0,1
