area,region,n,min,p25,p50,p75,max
Yarra Catchment,"Plenty River at Kurrak Road, South Morang",9,6,8,10,12,17
Yarra Catchment,"Plenty River at Henty Road, View Bank",9,8,12,19,27,61
Yarra Catchment,"Ruffey Creek at Parker Street, Templestowe",12,1,1,3,5,16
Yarra Catchment,"Scotchman Creek at Golfers Drive, Malvern East",12,4,4,6,10,19
Yarra Catchment,"Shepherd Creek at Healesville-Koo Wee Rup Rd, Yellingbo",9,6,7,12,16,33
Yarra Catchment,"Starvation Creek upstream Woods Point Road, McMahons Creek",9,1,3,4,4,8
Yarra Catchment,"Steels Creek at Yarra Glen-Healesville Road, Yarra Glen",7,1,4,4,13,49
Yarra Catchment,"Stringybark Creek at Melba Highway, Yering",9,4,6,9,10,17
Yarra Catchment,"Wandin Yallock Creek at Killara Road, Gruyere",9,1,4,6,6,14
Yarra Catchment,"Watsons Creek at Henley Road, Kangaroo Road",9,1,1,2,4,6
Yarra Catchment,"Watts River at Healesville-Kinglake Road, Healesville",9,3,6,7,10,70
Yarra Catchment,"Woori Yallock Creek at Macclesfield-Woori Yallock Road, Yellingbo",9,6,10,11,14,48
Yarra Catchment,"Woori Yallock Creek at Warburton Highway, Woori Yallock",9,12,14,24,32,37
Yarra Catchment,"Yarra River at McKenzie-King Drive, Millgrove",9,1,4,8,11,18
Yarra Catchment,"Yarra River at Don Road, Launching Place",9,3,6,10,15,29
Yarra Catchment,"Yarra River at Maroondah Hwy, Healesville",9,11,13,16,18,22
Yarra Catchment,"Yarra River at Spadonis Reserve, Coldstream",9,11,15,18,20,31
Yarra Catchment,"Yarra River at Kangaroo Ground-Warrandyte Road, Warrandyte",9,6,6,10,14,20
Yarra Catchment,"Yarra River at Chandler Hwy, Kew",9,13,18,22,26,39
Yarra Catchment,"Yarra River at Princes Bridge, Melbourne",9,9,10,15,30,44
